S. No.,India/States/Uts,Literacy Rates (Percentage) - Total - 2001,Literacy Rates (Percentage) - Total - 2011,Literacy Rates (Percentage) - Male - 2001,Literacy Rates (Percentage) - Male - 2011,Literacy Rates (Percentage) - Female - 2001,Literacy Rates (Percentage) - Female - 2011,Increase in Literacy Rates2001-2011 (Percentage Points) Total - 2001-2011,Increase in Literacy Rates2001-2011 (Percentage Points) Male - 2001-2011,Increase in Literacy Rates2001-2011 (Percentage Points) Female - 2001-2011
INDIA,INDIA,64.84,72.98,75.26,80.88,53.67,64.63,8.14,5.62,10.96
1,Andhra Pradesh,60.47,67.02,70.32,74.88,50.43,59.15,6.55,4.56,8.72
2,Arunachal Pradesh,54.34,65.38,63.83,72.55,43.53,57.7,11.04,8.72,14.17
3,Assam,63.25,72.19,71.28,77.85,54.61,66.27,8.94,6.57,11.66
4,Bihar,47,61.8,59.68,71.2,33.12,51.5,14.8,11.52,18.38
5,Chhattisgarh,64.66,70.28,77.38,80.27,51.85,60.24,5.62,2.89,8.39
6,Goa,82.01,88.7,88.42,92.65,75.37,84.66,6.69,4.23,9.29
7,Gujarat,69.14,78.03,79.66,85.75,57.8,69.68,8.89,6.09,11.88
8,Haryana,67.91,75.55,78.49,84.06,55.73,65.94,7.64,5.57,10.21
9,Himachal Pradesh,76.48,82.8,85.35,89.53,67.42,75.93,6.32,4.18,8.51
10,Jammu & Kashmir,55.52,67.16,66.6,76.75,43,56.43,11.64,10.15,13.43
11,Jharkhand,53.56,66.41,67.3,76.84,38.87,55.42,12.85,9.54,16.55
12,Karnataka,66.64,75.36,76.1,82.47,56.87,68.08,8.72,6.37,11.21
13,Kerala,90.86,94,94.24,96.11,87.72,92.07,3.14,1.87,4.35
14,Madhya Pradesh,63.74,69.32,76.06,78.73,50.29,59.24,5.58,2.67,8.95
15,Maharashtra,76.88,82.34,85.97,88.38,67.03,75.87,5.46,2.41,8.84
16,Manipur,69.93,76.94,79.54,83.58,60.1,70.26,7.01,4.04,10.16
17,Meghalaya,62.56,74.43,65.43,75.95,59.61,72.89,11.87,10.52,13.28
18,Mizoram,88.8,91.33,90.72,93.35,86.75,89.27,2.53,2.63,2.52
19,Nagaland,66.59,79.55,71.16,82.75,61.46,76.11,12.96,11.59,14.65
20,Odisha,63.08,72.87,75.35,81.59,50.51,64.01,9.79,6.24,13.5
21,Punjab,69.65,75.84,75.23,80.44,63.36,70.73,6.19,5.21,7.37
22,Rajasthan,60.41,66.11,75.7,79.19,43.85,52.12,5.7,3.49,8.27
23,Sikkim,68.81,81.42,76.04,86.55,60.4,75.61,12.61,10.51,15.21
24,Tamil Nadu,73.45,80.09,82.42,86.77,64.43,73.44,6.64,4.35,9.01
25,Tripura,73.19,87.22,81.02,91.53,64.91,82.73,14.03,10.51,17.82
26,Uttar Pradesh,56.27,67.68,68.82,77.28,42.22,57.18,11.41,8.46,14.96
27,Uttrakhand,71.62,78.82,83.28,87.4,59.63,70.01,7.2,4.12,10.38
28,West Bengal,68.64,76.26,77.02,81.69,59.61,70.54,7.62,4.67,10.93
29,Andaman & Nicobar Islands,81.3,86.63,86.33,90.27,75.24,82.43,5.33,3.94,7.19
30,Chandigarh,81.94,86.05,86.14,89.99,76.47,81.19,4.11,3.85,4.72
31,Dadra & Nagar Haveli,57.63,76.24,71.18,85.17,40.23,64.32,18.61,13.99,24.09
32,Daman & Diu,78.18,87.1,86.76,91.54,65.61,79.55,8.92,4.78,13.94
33,Delhi,81.67,86.21,87.33,90.94,74.71,80.76,4.54,3.61,6.05
34,Lakshadweep,86.66,91.85,92.53,95.56,80.47,87.95,5.19,3.03,7.48
35,Puducherry,81.24,85.85,88.62,91.26,73.9,80.67,4.61,2.64,6.77
