Year,"Population ages 15-19, female","Population ages 15-19, female (% of female population)","Population ages 15-19, male","Population ages 15-19, male (% of male population)","Population ages 20-24, female (% of female population)","Population ages 20-24, male","Population ages 20-24, male (% of male population)","Population ages 20-24, female","Population ages 25-29, female","Population ages 25-29, female (% of female population)","Population ages 25-29, male","Population ages 25-29, male (% of male population)","Population ages 30-34, female","Population ages 30-34, female (% of female population)","Population ages 30-34, male","Population ages 30-34, male (% of male population)","Population ages 35-39, female","Population ages 35-39, female (% of female population)","Population ages 35-39, male","Population ages 35-39, male (% of male population)","Population ages 40-44, female","Population ages 40-44, female (% of female population)","Population ages 40-44, male","Population ages 40-44, male (% of male population)","Population ages 45-49, female","Population ages 45-49, female (% of female population)","Population ages 45-49, male","Population ages 45-49, male (% of male population)","Population ages 50-54, female","Population ages 50-54, female (% of female population)","Population ages 50-54, male","Population ages 50-54, male (% of male population)","Population ages 55-59, female","Population ages 55-59, female (% of female population)","Population ages 55-59, male","Population ages 55-59, male (% of male population)","Population ages 60-64, female","Population ages 60-64, female (% of female population)","Population ages 60-64, male","Population ages 60-64, male (% of male population)","Population ages 65 and above, male (% of male population)","Population ages 65 and above, total",Population growth (annual %),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total","Population ages 00-04, female","Population ages 00-04, female (% of female population)","Population ages 00-04, male","Population ages 00-04, male (% of male population)","Population ages 05-09, female","Population ages 05-09, female (% of female population)","Population ages 05-09, male","Population ages 05-09, male (% of male population)","Population ages 10-14, female","Population ages 10-14, female (% of female population)","Population ages 10-14, male","Population ages 10-14, male (% of male population)","Population ages 65 and above, male","Population ages 65 and above, female","Population ages 65 and above, female (% of female population)",Population ages 65 and above (% of total population),"Population ages 65-69, female","Population ages 65-69, female (% of female population)","Population ages 65-69, male","Population ages 65-69, male (% of male population)","Population ages 70-74, female","Population ages 70-74, female (% of female population)","Population ages 70-74, male","Population ages 70-74, male (% of male population)","Population ages 75-79, female",Population ages 0-14 (% of total population),"Population ages 0-14, female","Population ages 0-14, female (% of female population)","Population ages 0-14, male","Population ages 0-14, male (% of male population)","Population ages 0-14, total",Population ages 15-64 (% of total population),"Population ages 15-64, female","Population ages 15-64, female (% of female population)","Population ages 15-64, male","Population ages 15-64, male (% of male population)","Population ages 15-64, total","Population ages 75-79, female (% of female population)","Population ages 75-79, male","Population ages 75-79, male (% of male population)","Population ages 80 and above, female","Population ages 80 and above, male","Population ages 80 and above, male (% of male population)","Population ages 80 and older, female (% of female population)"
2016,61230450.0,9.42692615931307,67623565.0,9.738176864659,9.04510751016195,64427370.0,9.27790672709696,58750434.0,56039606.0,8.62775339795044,60928394.0,8.77403426408467,51330732.0,7.90278391803466,55871101.0,8.04575538593707,45194423.0,6.95804920134177,48846263.0,7.03413893941732,40216338.0,6.19163257372722,42791419.0,6.16220698692452,35352548.0,5.44281259166042,37084625.0,5.34039635265832,31067442.0,4.78308549062237,32346511.0,4.65808106096859,26565163.0,4.08992314648314,27375445.0,3.94221935992068,21730518.0,3.34559012043229,21869587.0,3.14934450540475,5.12714389686587,75821720.0,1.19162966402099,649527205.0,48.3299201412735,694417091.0,51.6700798587265,1343944296.0,58867603.0,9.06314670838152,64352535.0,9.26713006261536,60597732.0,9.32951399626133,66629542.0,9.59503191432828,62366261.0,9.60179343065392,68666974.0,9.88843367911865,35603764.0,40217956.0,6.19188175497591,5.64173085340436,15484923.0,2.38402993451214,14939584.0,2.15138476480845,10604595.0,1.63266363877707,9480068.0,1.36518356516084,7331719.0,28.3851530629213,181831596.0,27.9944541352968,199649050.0,28.7505956560623,381480646.0,65.9731160836743,427477653.0,65.8136641097273,459164278.0,66.1222604470719,886641930.0,1.12877781616553,6042784.0,0.870195172082826,6796720.0,5141328.0,0.740380394813757,1.04641036552118
2017,61778230.0,9.39966975007567,68193087.0,9.70831912739719,8.99738849441541,64992218.0,9.25262693224628,59134284.0,56593383.0,8.61078587456369,61528594.0,8.75952751093805,52415662.0,7.97513797063716,57007531.0,8.11588577019845,46276897.0,7.04111381725031,50072775.0,7.12861819240132,41081344.0,6.25060092834349,43779615.0,6.23269152535064,36151680.0,5.50054368521752,37920627.0,5.39857582018344,31709531.0,4.82466258146198,32963398.0,4.6928390990862,27190746.0,4.13712124737721,27991664.0,3.9850375138541,22450059.0,3.41581719757452,22594382.0,3.21665265260908,5.30756455594171,79196036.0,1.1623961434697,657238304.0,48.3385229249662,702419096.0,51.6614770750338,1359657400.0,58261386.0,8.86457548042162,63599613.0,9.05436851260208,60418672.0,9.19281053436046,66403706.0,9.45357356183439,61861743.0,9.41237640450455,68090535.0,9.69371922535708,37281347.0,41914690.0,6.37739603379644,5.8247052897296,16362651.0,2.48960702881493,15893349.0,2.2626590847534,10950433.0,1.66612824323925,9815835.0,1.39743282164596,7478598.0,27.8478721919213,180541801.0,27.4697624192866,198093854.0,28.2016612997935,378635655.0,66.3274225183491,434781814.0,66.1528415469169,467043895.0,66.4907741442647,901825708.0,1.13788225065005,6200170.0,0.88268820293954,7123008.0,5371992.0,0.764784446602813,1.08377851109221
2018,62178615.0,9.35566992639403,68584741.0,9.65914029860751,8.951609737345,65520926.0,9.22764747189335,59493195.0,57071892.0,8.58728968686683,62083691.0,8.74356413512441,53371842.0,8.03056377341907,58008072.0,8.16957376962546,47428167.0,7.13625210368175,51357720.0,7.23297071132194,41890672.0,6.3030561512691,44714951.0,6.29743553532352,36968547.0,5.56245141978466,38790269.0,5.46303215845279,32371094.0,4.87069827564927,33606373.0,4.73295760837437,27827632.0,4.18706885654273,28617405.0,4.03033562593029,23107841.0,3.47690819499559,23257654.0,3.27549444522798,5.49901074347834,82744296.0,1.09729906702925,664608905.0,48.3471809414411,710050159.0,51.6528190585589,1374659064.0,57658903.0,8.6756139622628,62849630.0,8.85143517646296,60182984.0,9.05539844590602,66090809.0,9.30790708358105,61358955.0,9.23234025187163,67522186.0,9.50949523659602,39045735.0,43698562.0,6.57507921401153,6.01925951437221,17311858.0,2.60481891782294,16881262.0,2.37747457667809,11305102.0,1.70101572615777,10184368.0,1.43431669975467,7626797.0,27.3277554659182,179200843.0,26.9633526600405,196462625.0,27.66883749664,375663468.0,66.6529850197096,441709500.0,66.461568125948,474541800.0,66.8321517598816,916251300.0,1.14756173696803,6369273.0,0.897017333740937,7454804.0,5610832.0,0.790202133304643,1.12168283306279
2019,62398981.0,9.28999692030831,68792966.0,9.58986039058127,8.9070673440643,65991270.0,9.19929904028085,59826923.0,57450398.0,8.55324890984778,62598774.0,8.72637913082288,54201524.0,8.06955464547153,58853778.0,8.204320101353,48603778.0,7.23615894171844,52655474.0,7.34026562156202,42701924.0,6.35748753521302,45655208.0,6.36441622840084,37828159.0,5.63187847242239,39720245.0,5.53707201690097,33040553.0,4.91909688646574,34265392.0,4.77665591416524,28478409.0,4.2398822151493,29253476.0,4.0779859386101,23701669.0,3.52871836563818,23856378.0,3.32562105416046,5.69957794451642,86445927.0,1.04001395098104,671679248.0,48.3559820255384,717351064.0,51.6440179744616,1389030312.0,57282565.0,8.5282619089281,62332993.0,8.68932886164182,59639765.0,8.87920322582364,65426370.0,9.12055098667878,60964654.0,9.07645347629048,67062761.0,9.34866677032535,40885983.0,45559944.0,6.78299115265878,6.22347304109804,18182743.0,2.70705742965945,17744267.0,2.47358203017427,11802109.0,1.757104976275,10729139.0,1.49566077837145,7800937.0,26.832323620307,177886985.0,26.4839186110422,194822123.0,27.1585466186459,372709109.0,66.944203338595,448232319.0,66.733090236299,481642958.0,67.1418754368376,929875277.0,1.16140814494733,6563601.0,0.914977524111526,7774154.0,5848977.0,0.815357611859176,1.15742060177701
2020,62395896.0,9.19693578477911,68749854.0,9.49353541205569,8.87970796304834,66502014.0,9.18313543313787,60243689.0,57840211.0,8.52544382638682,63185626.0,8.72518178149608,54935788.0,8.09734200986185,59595633.0,8.22944654071049,49741493.0,7.33172118181574,53887018.0,7.44115485557984,43638105.0,6.43210324050768,46734880.0,6.45352985086206,38698224.0,5.7039822156412,40676622.0,5.61695663515628,33728260.0,4.97142698860088,34948447.0,4.82596401622376,29100528.0,4.28931548191404,29842077.0,4.12083511782258,24253235.0,3.57484160285409,24391302.0,3.36814813229768,5.88425766723156,90003916.0,0.973438646910149,678442228.0,48.3697182728258,724175467.0,51.6302817271742,1402617695.0,56846872.0,8.37902914880103,61733760.0,8.52469639305705,58963120.0,8.69095659291049,64602110.0,8.92078133748657,60665244.0,8.94184376222366,66713773.0,9.21237682688252,42612350.0,47391566.0,6.98535020065507,6.41685302336898,18896130.0,2.78522315299131,18414252.0,2.54278870435307,12455934.0,1.83596089616931,11412174.0,1.57588526597258,8005258.0,26.3453740591996,176475236.0,26.0118295039352,193049643.0,26.6578545574261,369524878.0,67.2377729174314,454575427.0,67.0028202954097,488513474.0,67.4578877753423,943088901.0,1.17994682163265,6763527.0,0.933962457839017,8034244.0,6022397.0,0.831621239066883,1.1842193298618
2021,62098786.0,9.07505769354203,68378662.0,9.36791389939894,8.88512522537692,67118716.0,9.19530061058965,60799116.0,58239306.0,8.51103687347962,63786666.0,8.73880794425554,55548766.0,8.11784398257103,60236182.0,8.25238976935113,50846894.0,7.43071686759571,55044608.0,7.54114123287144,44646286.0,6.52456589493356,47879391.0,6.55950266653957,39534514.0,5.77753638269426,41599128.0,5.69910328060505,34428137.0,5.03129529063852,35642934.0,4.88310138732328,29622416.0,4.32899178129026,30308028.0,4.15221642571241,24710449.0,3.6111615822623,24812283.0,3.39929629642604,6.00629549288907,92570827.0,0.822648220128724,684279793.0,48.3862189133723,729924103.0,51.6137810866277,1414203896.0,56195125.0,8.21230227384487,60890054.0,8.34197065828363,58444800.0,8.5410675717557,63938170.0,8.75956414334217,60435770.0,8.83202611245309,66447883.0,9.10339619241208,43841398.0,48729429.0,7.12127246756211,6.54579069268807,19446702.0,2.84192266072074,18914090.0,2.59124070876174,13026204.0,1.9036370989257,11997316.0,1.64363890035838,8135682.0,25.9051614152815,175075695.0,25.5853959580537,191276108.0,26.2049309940379,366351802.0,67.5490478920304,460474670.0,67.2933315743842,494806597.0,67.7887735130731,955281267.0,1.18894077879047,6883335.0,0.943020715675695,8120841.0,6046656.0,0.82839516809325,1.1867719291252
2022,61577235.0,8.92563716908657,67789019.0,9.21633172870289,8.8852969276531,67642188.0,9.1963691562388,61298931.0,58555075.0,8.48757417243293,64287447.0,8.74027159979119,56041315.0,8.12320404072201,60778165.0,8.26316331720342,51884187.0,7.52062711994489,56125722.0,7.63063523714842,45685257.0,6.62209050951466,49042941.0,6.66768777413941,40351898.0,5.84901879882733,42517134.0,5.78046446882316,35179011.0,5.09920733130198,36406736.0,4.94971848970813,30170522.0,4.37322539914508,30815092.0,4.18950022159929,25198184.0,3.65248370934295,25280408.0,3.4370260818342,6.15634764493584,95489097.0,0.790200540609834,689891756.0,48.3990824754438,735531456.0,51.6009175245562,1425423212.0,55628417.0,8.06335436192689,60141124.0,8.17655362915128,57857938.0,8.38652397232009,63200371.0,8.59247696906625,60256564.0,8.73420554397812,66223234.0,9.00345368165774,45281873.0,50207224.0,7.27755094380342,6.69899975408181,19989547.0,2.89749034194866,19427801.0,2.64132836581137,13664920.0,1.98073384428151,12658030.0,1.72093666261845,8303288.0,25.4877038842946,173742919.0,25.1840838782251,189564729.0,25.7724842798753,363307647.0,67.8132963616236,465941614.0,67.5383651779715,500684854.0,68.0711680751889,966626467.0,1.20356388198383,7050266.0,0.958526781920169,8249470.0,6145776.0,0.835555834585846,1.19576287558943
2023,61048752.0,8.769024712769,67199760.0,9.05799642084931,8.85469143338482,67982582.0,9.16351470627055,61645152.0,58856179.0,8.45408424364183,64763212.0,8.72956907678672,56475213.0,8.1120829875758,61296086.0,8.2622278968137,52815123.0,7.58634873630355,57104699.0,7.69726212613417,46820958.0,6.72534856659611,50308226.0,6.78115121896051,41153460.0,5.9112708205251,43441588.0,5.85558269178047,36015162.0,5.17320720683152,37281135.0,5.02520238817518,30831921.0,4.42868806565424,31457519.0,4.24022498234978,25809183.0,3.70722352819762,25884769.0,3.48906233043154,6.37319370773675,99540924.0,0.883289539766135,696186332.0,48.4111710543389,741883264.0,51.5888289456611,1438069596.0,55160392.0,7.92322241396719,59504265.0,8.02070458890956,57274750.0,8.2269283189547,62466007.0,8.41992400033437,60020822.0,8.6213732934935,65911757.0,8.88438386446739,47281658.0,52259267.0,7.50650567210504,6.92184330138637,20620793.0,2.96196471435466,20034388.0,2.70047707936973,14502303.0,2.08310653820765,13483549.0,1.81747582865005,8590918.0,25.0570622244071,172455965.0,24.7715240264154,187882029.0,25.3250124537113,360337993.0,68.0210944742065,471471101.0,67.7219703014796,506719577.0,68.3017938385519,978190678.0,1.23399693517683,7352820.0,0.991102017904531,8545252.0,6410901.0,0.864138781812444,1.2274374843659
2024,60645954.0,8.63149534613086,66730580.0,8.91734470582063,8.80073845384252,68155217.0,9.10772194761183,61835076.0,59211688.0,8.42736201835469,65258361.0,8.7206091838683,56880627.0,8.09559152591286,61846646.0,8.26469461846743,53665702.0,7.63802414385068,57979905.0,7.74797405881562,48012517.0,6.8334289232633,51622180.0,6.89837817946598,41973609.0,5.97393543732174,44391111.0,5.93207547677109,36894343.0,5.2510239486762,38222139.0,5.10770311618214,31528368.0,4.48730624672013,32137630.0,4.29461772015324,26456422.0,3.76543651315535,26519323.0,3.54383172344543,6.59081637972026,103691375.0,0.890706546985984,702612364.0,48.4247730573765,748323427.0,51.5752269426235,1450935791.0,54737622.0,7.79058621860517,58920509.0,7.8736689076019,56915848.0,8.10060431842899,61965433.0,8.28056843662065,59483836.0,8.46609582293089,65253770.0,8.71999554545551,49320623.0,54370752.0,7.73837108280662,7.14651714039908,21207801.0,3.0184211930549,20613163.0,2.75457940460816,15290501.0,2.17623561489163,14224239.0,1.90081433866429,9016761.0,24.6239027058366,171137305.0,24.357286359965,186139712.0,24.8742328896781,357277018.0,68.2295801537644,477104306.0,67.9043425572283,512863092.0,68.5349507306017,989967399.0,1.28331936100117,7793934.0,1.04151937769015,8855690.0,6689287.0,0.89390325875766,1.26039491385893
2025,60339330.0,8.50940262525223,66369850.0,8.79332390685644,8.71051078474726,68036933.0,9.01419529346668,61765368.0,59648619.0,8.41199454920308,65794157.0,8.7170504270072,57303129.0,8.08121992958284,62475100.0,8.27730950745326,54419838.0,7.67460149003312,58751434.0,7.78396191580418,49166660.0,6.93376789476727,52873264.0,7.00516485665394,42919098.0,6.05270035259434,45480453.0,6.02569314625389,37771682.0,5.32678185819567,39188006.0,5.19200863673031,32264621.0,4.55014420801889,32866162.0,4.35442912770206,27111462.0,3.82341580241169,27151107.0,3.59724299935463,6.81260308190019,107983087.0,..,709090076.0,48.4395638731912,754775449.0,51.5604361268089,1463865525.0,54529094.0,7.69000947609511,58571645.0,7.7601418511428,56480996.0,7.9652779599508,61368389.0,8.13068165920166,58806952.0,8.29329778146077,64429093.0,8.53619359047276,51419856.0,56563231.0,7.97687528768692,7.37657146047502,21783736.0,3.07206894478669,21198458.0,2.80857817090974,15979856.0,2.25357201463187,14864753.0,1.96942720112244,9606053.0,24.1952667831956,169817041.0,23.9485852175067,184369128.0,24.4270171008172,354186169.0,68.4281617563294,482709804.0,68.0745394948064,518986466.0,68.7603798172826,1001696269.0,1.35470130409405,8371700.0,1.10916438936794,9193587.0,6984943.0,0.925433320500068,1.2965330241743
